burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
0.0,408.2,2,0.131448,0.0517418,0.0797065,0.194221,1.03048,0.00201023,0.323475
0.1,0.0,1,0.0108336,0.00738572,0.00344788,0.00871915,0.250953,0.0186078,1.32827
0.1,459.2,1,0.0109901,0.00753434,0.00345575,0.00873776,0.251355,0.0186745,1.32615
0.1,510.2,1,0.0110074,0.00755077,0.00345659,0.00873973,0.251398,0.0186814,1.32592
0.1,561.2,1,0.0110246,0.00756718,0.00345741,0.00874169,0.251441,0.0186881,1.32569
0.1,612.2,1,0.0110418,0.00758357,0.00345823,0.00874362,0.251483,0.0186947,1.32547
0.1,663.3,1,0.011059,0.00759998,0.00345904,0.00874555,0.251526,0.0187012,1.32525
0.1,714.3,1,0.0110762,0.00761634,0.00345984,0.00874745,0.251568,0.0187075,1.32502
0.1,765.3,1,0.0110933,0.00763269,0.00346064,0.00874933,0.25161,0.0187138,1.3248
0.1,816.3,1,0.0111104,0.00764902,0.00346143,0.00875119,0.251651,0.0187199,1.32459
0.1,867.4,1,0.0111276,0.00766537,0.00346221,0.00875305,0.251692,0.018726,1.32437
0.1,918.4,1,0.0111447,0.00768167,0.00346298,0.00875488,0.251733,0.0187319,1.32415
0.1,51.0,1,0.0108511,0.00740229,0.00344879,0.00872129,0.250999,0.0186157,1.32803
0.1,969.4,1,0.0111617,0.00769796,0.00346375,0.00875669,0.251774,0.0187378,1.32394
0.1,1020.4,1,0.0111787,0.0077142,0.0034645,0.00875848,0.251815,0.0187435,1.32373
0.1,1071.4,1,0.0111957,0.00773049,0.00346526,0.00876027,0.251855,0.0187491,1.32351
0.1,1122.5,1,0.0112128,0.00774675,0.003466,0.00876204,0.251895,0.0187546,1.3233
0.1,1173.5,1,0.0112297,0.00776298,0.00346674,0.00876379,0.251935,0.0187601,1.32309
0.1,1224.5,1,0.0112467,0.00777919,0.00346747,0.00876552,0.251974,0.0187654,1.32289
0.1,1275.5,1,0.0112636,0.00779538,0.0034682,0.00876724,0.252013,0.0187706,1.32268
0.1,1326.5,1,0.0112805,0.00781156,0.00346891,0.00876894,0.252052,0.0187757,1.32248
0.1,1377.6,1,0.0112974,0.00782775,0.00346962,0.00877063,0.252091,0.0187808,1.32227
0.1,1428.6,1,0.0113142,0.0078439,0.00347033,0.00877229,0.25213,0.0187857,1.32207
0.1,102.0,1,0.0108685,0.00741885,0.00344969,0.00872342,0.251044,0.0186235,1.32779
0.1,1479.6,1,0.0113311,0.00786004,0.00347102,0.00877395,0.252168,0.0187905,1.32187
0.1,1530.6,1,0.0113478,0.00787613,0.00347171,0.00877557,0.252206,0.0187953,1.32167
0.1,1581.6,1,0.0113647,0.00789226,0.0034724,0.00877721,0.252244,0.0187999,1.32147
0.1,1632.7,1,0.0113815,0.00790838,0.00347308,0.00877882,0.252281,0.0188045,1.32128
0.1,1683.7,1,0.0113982,0.00792442,0.00347374,0.0087804,0.252319,0.018809,1.32108
0.1,1734.7,1,0.0114149,0.00794049,0.00347441,0.00878198,0.252356,0.0188133,1.32089
0.1,1785.7,1,0.0114316,0.00795653,0.00347506,0.00878354,0.252393,0.0188176,1.32069
0.1,1836.7,1,0.0114483,0.00797256,0.00347572,0.00878509,0.252429,0.0188218,1.3205
0.1,1887.8,1,0.011465,0.0079886,0.00347636,0.00878663,0.252466,0.0188259,1.32031
0.1,1938.8,1,0.0114816,0.0080046,0.003477,0.00878815,0.252502,0.0188299,1.32012
0.1,153.1,1,0.010886,0.00743542,0.00345058,0.00872553,0.25109,0.0186312,1.32755
0.1,1989.8,1,0.0114982,0.00802059,0.00347764,0.00878966,0.252538,0.0188338,1.31993
0.1,2040.8,1,0.0115148,0.00803655,0.00347827,0.00879115,0.252574,0.0188377,1.31975
0.1,2091.8,1,0.0115314,0.00805251,0.00347889,0.00879263,0.252609,0.0188414,1.31956
0.1,2142.9,1,0.011548,0.00806848,0.00347951,0.0087941,0.252645,0.0188451,1.31938
0.1,2193.9,1,0.0115645,0.00808441,0.00348012,0.00879555,0.25268,0.0188487,1.31919
0.1,2244.9,1,0.011581,0.00810032,0.00348072,0.00879699,0.252715,0.0188522,1.31901
0.1,2295.9,1,0.0115975,0.00811622,0.00348132,0.00879841,0.25275,0.0188556,1.31883
0.1,2346.9,1,0.011614,0.0081321,0.00348191,0.00879982,0.252784,0.0188589,1.31865
0.1,2398.0,1,0.0116305,0.00814801,0.0034825,0.00880122,0.252819,0.0188622,1.31847
0.1,2449.0,1,0.0116469,0.00816386,0.00348308,0.00880261,0.252853,0.0188654,1.31829
0.1,204.1,1,0.0109034,0.00745194,0.00345146,0.00872761,0.251134,0.0186387,1.32731
0.1,2500.0,1,0.0116634,0.0081797,0.00348366,0.00880398,0.252887,0.0188685,1.31811
0.1,255.1,1,0.0109208,0.00746844,0.00345234,0.00872968,0.251179,0.0186461,1.32707
0.1,306.1,1,0.0109381,0.00748494,0.0034532,0.00873173,0.251223,0.0186534,1.32684
0.1,357.1,1,0.0109555,0.00750141,0.00345406,0.00873375,0.251267,0.0186606,1.32661
0.1,408.2,1,0.0109728,0.0075179,0.00345491,0.00873577,0.251311,0.0186676,1.32638
0.1,0.0,2,0.129984,0.0507586,0.0792256,0.193085,1.03105,0.00199492,0.323296
0.1,459.2,2,0.134841,0.0561485,0.0786929,0.191788,1.02894,0.0020591,0.323958
0.1,510.2,2,0.135377,0.0567421,0.0786347,0.191646,1.02872,0.00206615,0.324028
0.1,561.2,2,0.135911,0.0573347,0.0785767,0.191505,1.0285,0.00207319,0.324097
0.1,612.2,2,0.136445,0.0579264,0.0785189,0.191364,1.02828,0.00208021,0.324166
0.1,663.3,2,0.136979,0.0585183,0.0784612,0.191224,1.02806,0.00208723,0.324234
0.1,714.3,2,0.137512,0.059108,0.0784038,0.191084,1.02785,0.00209422,0.324301
0.1,765.3,2,0.138043,0.0596968,0.0783466,0.190944,1.02764,0.00210119,0.324368
